sample,BranchLength,BranchVolume,DBHcyl,DBHqsm,LengthBranchOrder,LengthCylDiam,MaxBranchOrder,NumberBranchOrder,NumberBranches,TotalArea,TotalVolume,TreeHeight,TrunkLength,TrunkVolume,VolumeBranchOrder,VolumeCylDiam,PA,IoU,DSC,MSE,NHD
T374,1276.1195,4016.6047,1.0999607,1.0999607,1.1396962,77.40075,7,29,1048,230.68979,6240.0312,21.714645,21.002613,2223.4265,1002.6388,1.6587262,0.866666667,0.783469376,0.877229111,0.133333333,0.017135948
T375,124.20553,268.69595,0.4105272,0.4105272,0.11834383,9.02495,6,5,120,21.367125,654.4297,6.6549892,3.8267334,385.73376,52.589653,0.21272,0.852733686,0.782927015,0.878225538,0.147266314,0.080723382
T376,1089.8293,2616.009,0.29113147,0.29411536,1.0873092,55.884415,9,31,992,179.09702,3343.5002,21.001461,21.269094,727.4913,587.12744,1.3057774,0.972222222,0.954904372,0.976889035,0.027777778,0.020217554
T377,388.11417,930.6769,0.25826272,0.25826272,0.97105867,23.747114,6,31,370,68.86922,1451.538,20.759056,19.771833,520.86115,433.5296,0.49074537,0.904761905,0.855218855,0.921934236,0.095238095,0.212807238
T378,4.074063,4.6011634,0.13428594,0.13428594,0.03683662,0.14511167,2,3,4,1.2649599,28.112616,1.3129654,2.8730183,23.511454,4.4967756,0.002849261,0.947777778,0.9108021,0.953092172,0.052222222,0.011067393
T379,67.70273,107.19508,0.15329972,0.17117673,0.29127443,9.295043,4,15,71,11.479321,272.98047,9.172971,8.902601,165.78537,69.50029,0.21320437,0.893333333,0.832844933,0.908412698,0.106666667,0.125222743
T380,901.28827,2161.4316,0.39018527,0.3665375,1.2479525,49.1729,7,31,777,149.38377,3195.0803,17.914612,17.324738,1033.6489,619.21674,1.0492703,0.847578348,0.771502399,0.867478147,0.152421652,0.058302964
T381,144.67033,71.27302,0.61315,0.66369516,0.14344719,21.709064,6,2,138,15.004828,743.2701,8.026562,3.242077,671.9971,11.893747,0.6002324,0.958888889,0.934476342,0.966081571,0.041111111,0.046856357
T382,14.690701,17.232101,0.057724815,0.057724815,0.07438199,0,3,2,11,1.9089195,21.200853,4.687131,2.2717383,3.9687521,11.517284,0,0.960622711,0.935309738,0.966546547,0.039377289,0.062973789
T383,137.39792,188.25323,0.005,0.005,0.09924614,9.088672,6,2,136,16.079515,194.84673,7.2846746,0.86663294,6.593497,41.08844,0.21936807,0.797430083,0.656277245,0.787796915,0.202569917,0.012748624
T384,240.29924,859.3228,0.5216976,0.5216976,0.71882766,19.341747,5,34,220,57.86564,2757.3857,16.250633,12.904708,1898.0629,534.0061,0.34923425,0.953333333,0.907058175,0.951148431,0.046666667,0.026807034
T385,101.83916,120.24708,0.10575188,0.10575188,0.14670098,20.466307,5,5,88,11.4748125,152.1405,6.3909397,4.198878,31.893425,33.52283,0.51358527,0.675925926,0.494420703,0.660074709,0.324074074,0.235983067
T386,8.899931,25.109016,0.11797393,0.11797393,0.061870556,0.73496777,2,4,7,2.6228285,68.233185,2.8266582,3.0426023,43.124172,21.951157,0.014431058,0.702505828,0.44314529,0.613371296,0.297494172,0.059529501
T387,41.46188,295.08524,0.005,0.005,0.08014242,2.218866,4,3,37,10.793893,320.68936,5.0727205,1.4300711,25.604143,128.22264,0.043567337,0.817754262,0.709815547,0.829573935,0.182245738,0.100333913
T388,10.9525585,7.828082,0.06575277,0.06575277,0.040275935,0.7711312,4,4,12,1.3849818,15.632486,2.180132,2.7701252,7.804404,5.4134846,0.025337022,0.777777778,0.708498024,0.828306878,0.222222222,0.093317325
T389,1.8794484,32.709553,0.3859279,0.3859279,0.007678567,0.2168739,2,1,2,1.3834163,92.41206,0.5395584,0.51037616,59.70251,24.328339,0.004258309,0.798941799,0.711885865,0.829646678,0.201058201,0.177510793
